valor_origen,valor_canonico,accion,confianza,nota
Bosques,Bosques,sin_cambio,alta,Sin observaciones
Cuerpos de Agua,Cuerpos de Agua,sin_cambio,alta,Sin observaciones
Humedales,Humedales,sin_cambio,alta,Sin observaciones
Nieves Eternas y Glaciares,Nieves Eternas y Glaciares,sin_cambio,alta,Sin observaciones
Praderas y Matorrales,Praderas y Matorrales,sin_cambio,alta,Sin observaciones
Terrenos Agrícolas,Terrenos Agrícolas,sin_cambio,alta,Sin observaciones
Áreas Desprovistas de Vegetación,Áreas Desprovistas de Vegetación,sin_cambio,alta,Sin observaciones
Áreas Urbanas e Industriales,Áreas Urbanas e Industriales,sin_cambio,alta,Sin observaciones
Áreas no Reconocidas,Áreas no Reconocidas,sin_cambio,alta,Sin observaciones
