valor_origen,valor_canonico,accion,confianza,nota
Afloramientos Rocosos,Afloramientos Rocosos,sin_cambio,alta,Sin observaciones
Bofedales,Bofedales,sin_cambio,alta,Sin observaciones
Bosque Mixto,Bosque Mixto,sin_cambio,alta,Sin observaciones
Bosque Nativo,Bosque Nativo,sin_cambio,alta,Sin observaciones
Cajas de Ríos,Cajas de Ríos,sin_cambio,alta,Sin observaciones
Campos de Hielo,Campos de Hielo,sin_cambio,alta,Sin observaciones
"Ciudades, Pueblos, Zonas Industriales","Ciudades, Pueblos, Zonas Industriales",sin_cambio,alta,Sin observaciones
Corridas de Lavas y Escoriales,Corridas de Lavas y Escoriales,sin_cambio,alta,Sin observaciones
Derrumbe sin Vegetación,Derrumbe sin Vegetación,sin_cambio,alta,Sin observaciones
Formación de Suculentas,Formación de Suculentas,sin_cambio,alta,Sin observaciones
Glaciares,Glaciares,sin_cambio,alta,Sin observaciones
"Lagos, Lagunas, Embalses, Tranques","Lagos, Lagunas, Embalses, Tranques",sin_cambio,alta,Sin observaciones
Mar,Mar,sin_cambio,alta,Sin observaciones
Marismas Herbáceas,Marismas Herbáceas,sin_cambio,alta,Sin observaciones
Matorral,Matorral,sin_cambio,alta,Sin observaciones
Matorral Arborescente,Matorral Arborescente,sin_cambio,alta,Sin observaciones
Matorral con Suculentas,Matorral con Suculentas,sin_cambio,alta,Sin observaciones
Matorral-Pradera,Matorral-Pradera,sin_cambio,alta,Sin observaciones
Minería Industrial,Minería Industrial,sin_cambio,alta,Sin observaciones
Nieves,Nieves,sin_cambio,alta,Sin observaciones
Otros Terrenos Húmedos,Otros Terrenos Húmedos,sin_cambio,alta,Sin observaciones
Otros sin Vegetación,Otros sin Vegetación,sin_cambio,alta,Sin observaciones
Plantación,Plantación,sin_cambio,alta,Sin observaciones
Plantación de Arbustos,Plantación de Arbustos,sin_cambio,alta,Sin observaciones
Playas y Dunas,Playas y Dunas,sin_cambio,alta,Sin observaciones
Praderas,Praderas,sin_cambio,alta,Sin observaciones
Rotación Cultivo-Pradera,Rotación Cultivo-Pradera,sin_cambio,alta,Sin observaciones
Ríos,Ríos,sin_cambio,alta,Sin observaciones
Salares,Salares,sin_cambio,alta,Sin observaciones
Terreno de Uso Agrícola,Terreno de Uso Agrícola,sin_cambio,alta,Sin observaciones
Terreno sobre Límite Altitudinal de la Vegetación,Terreno sobre Límite Altitudinal de la Vegetación,sin_cambio,alta,Sin observaciones
Tundra Magallánica,Tundra Magallánica,sin_cambio,alta,Sin observaciones
Turbales,Turbales,sin_cambio,alta,Sin observaciones
Vegas,Vegas,sin_cambio,alta,Sin observaciones
Vegetación Herbácea en Orillas de Ríos,Vegetación Herbácea en Orillas de Ríos,sin_cambio,alta,Sin observaciones
Áreas de Acceso Restringido,Áreas de Acceso Restringido,sin_cambio,alta,Sin observaciones
Ñadis,Ñadis,sin_cambio,alta,Sin observaciones
