valor_origen,valor_canonico,accion,confianza,nota
Quillón,Quillón,sin_cambio,alta,Sin observaciones
Quilpué,Quilpué,sin_cambio,alta,Sin observaciones
Quinchao,Quinchao,sin_cambio,alta,Sin observaciones
Quinta Normal,Quinta Normal,sin_cambio,alta,Sin observaciones
Quinta de Tilcoco,Quinta de Tilcoco,sin_cambio,alta,Sin observaciones
Quintero,Quintero,sin_cambio,alta,Sin observaciones
Quirihue,Quirihue,sin_cambio,alta,Sin observaciones
Rancagua,Rancagua,sin_cambio,alta,Sin observaciones
Rauco,Rauco,sin_cambio,alta,Sin observaciones
Recoleta,Recoleta,sin_cambio,alta,Sin observaciones
Renaico,Renaico,sin_cambio,alta,Sin observaciones
Renca,Renca,sin_cambio,alta,Sin observaciones
Rengo,Rengo,sin_cambio,alta,Sin observaciones
Requínoa,Requínoa,sin_cambio,alta,Sin observaciones
Retiro,Retiro,sin_cambio,alta,Sin observaciones
Rinconada,Rinconada,sin_cambio,alta,Sin observaciones
Rio Negro,Río Negro,ortografia,alta,"Se repone tilde, ñ o ü."
Romeral,Romeral,sin_cambio,alta,Sin observaciones
Ránquil,Ránquil,sin_cambio,alta,Sin observaciones
Río Claro,Río Claro,sin_cambio,alta,Sin observaciones
Río Hurtado,Río Hurtado,sin_cambio,alta,Sin observaciones
Río Ibañez,Río Ibañez,sin_cambio,alta,Sin observaciones
Río Verde,Río Verde,sin_cambio,alta,Sin observaciones
Saavedra,Saavedra,sin_cambio,alta,Sin observaciones
Sagrada Familia,Sagrada Familia,sin_cambio,alta,Sin observaciones
Salamanca,Salamanca,sin_cambio,alta,Sin observaciones
San Antonio,San Antonio,sin_cambio,alta,Sin observaciones
San Bernardo,San Bernardo,sin_cambio,alta,Sin observaciones
San Carlos,San Carlos,sin_cambio,alta,Sin observaciones
San Clemente,San Clemente,sin_cambio,alta,Sin observaciones
San Esteban,San Esteban,sin_cambio,alta,Sin observaciones
San Fabián,San Fabián,sin_cambio,alta,Sin observaciones
San Felipe,San Felipe,sin_cambio,alta,Sin observaciones
San Fernando,San Fernando,sin_cambio,alta,Sin observaciones
San Gregorio,San Gregorio,sin_cambio,alta,Sin observaciones
San Ignacio,San Ignacio,sin_cambio,alta,Sin observaciones
San Javier,San Javier,sin_cambio,alta,Sin observaciones
San Joaquín,San Joaquín,sin_cambio,alta,Sin observaciones
San José de Maipo,San José de Maipo,sin_cambio,alta,Sin observaciones
San Juan de La Costa,San Juan de la Costa,revisar,baja,Grafía oficial distinta de la del dato. Confirmar antes de aplicar.
San Miguel,San Miguel,sin_cambio,alta,Sin observaciones
San Nicolás,San Nicolás,sin_cambio,alta,Sin observaciones
San Pablo,San Pablo,sin_cambio,alta,Sin observaciones
San Pedro,San Pedro,sin_cambio,alta,Sin observaciones
San Pedro de Atacama,San Pedro de Atacama,sin_cambio,alta,Sin observaciones
San Pedro de la Paz,San Pedro de la Paz,sin_cambio,alta,Sin observaciones
San Rafael,San Rafael,sin_cambio,alta,Sin observaciones
San Ramón,San Ramón,sin_cambio,alta,Sin observaciones
San Rosendo,San Rosendo,sin_cambio,alta,Sin observaciones
San Vicente,San Vicente,sin_cambio,alta,Sin observaciones
Santa Bárbara,Santa Bárbara,sin_cambio,alta,Sin observaciones
Santa Cruz,Santa Cruz,sin_cambio,alta,Sin observaciones
Santa Juana,Santa Juana,sin_cambio,alta,Sin observaciones
Santa María,Santa María,sin_cambio,alta,Sin observaciones
Santiago,Santiago,sin_cambio,alta,Sin observaciones
Santo Domingo,Santo Domingo,sin_cambio,alta,Sin observaciones
Sierra Gorda,Sierra Gorda,sin_cambio,alta,Sin observaciones
Talagante,Talagante,sin_cambio,alta,Sin observaciones
Talca,Talca,sin_cambio,alta,Sin observaciones
Talcahuano,Talcahuano,sin_cambio,alta,Sin observaciones
Taltal,Taltal,sin_cambio,alta,Sin observaciones
Temuco,Temuco,sin_cambio,alta,Sin observaciones
Teno,Teno,sin_cambio,alta,Sin observaciones
Teodoro Schmidt,Teodoro Schmidt,sin_cambio,alta,Sin observaciones
Tierra Amarilla,Tierra Amarilla,sin_cambio,alta,Sin observaciones
Tiltil,Tiltil,sin_cambio,alta,Sin observaciones
Timaukel,Timaukel,sin_cambio,alta,Sin observaciones
Tirúa,Tirúa,sin_cambio,alta,Sin observaciones
Tocopilla,Tocopilla,sin_cambio,alta,Sin observaciones
Tolten,Toltén,ortografia,alta,"Se repone tilde, ñ o ü."
Tomé,Tomé,sin_cambio,alta,Sin observaciones
Torres del Paine,Torres del Paine,sin_cambio,alta,Sin observaciones
Tortel,Tortel,sin_cambio,alta,Sin observaciones
Traiguen,Traiguén,ortografia,alta,"Se repone tilde, ñ o ü."
Treguaco,Trehuaco,revisar,baja,Grafía oficial distinta de la del dato. Confirmar antes de aplicar.
Tucapel,Tucapel,sin_cambio,alta,Sin observaciones
Vallenar,Vallenar,sin_cambio,alta,Sin observaciones
Valparaíso,Valparaíso,sin_cambio,alta,Sin observaciones
Vichuquén,Vichuquén,sin_cambio,alta,Sin observaciones
Victoria,Victoria,sin_cambio,alta,Sin observaciones
Vicuña,Vicuña,sin_cambio,alta,Sin observaciones
Vilcun,Vilcún,ortografia,alta,"Se repone tilde, ñ o ü."
Villa Alegre,Villa Alegre,sin_cambio,alta,Sin observaciones
Villa Alemana,Villa Alemana,sin_cambio,alta,Sin observaciones
Villarrica,Villarrica,sin_cambio,alta,Sin observaciones
Vitacura,Vitacura,sin_cambio,alta,Sin observaciones
Viña del Mar,Viña del Mar,sin_cambio,alta,Sin observaciones
Yerbas Buenas,Yerbas Buenas,sin_cambio,alta,Sin observaciones
Yumbel,Yumbel,sin_cambio,alta,Sin observaciones
Yungay,Yungay,sin_cambio,alta,Sin observaciones
Zapallar,Zapallar,sin_cambio,alta,Sin observaciones
Ñiquén,Ñiquén,sin_cambio,alta,Sin observaciones
Ñuñoa,Ñuñoa,sin_cambio,alta,Sin observaciones
