genero,grupo,habito,origen_genero,origen_predominante,nota
Crataegus,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Crinodendron,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Cristaria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Croton,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Cryptantha,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Cryptocarya,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Cumulopuntia,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Cupressus,Conifera,Arbol,Exotica,No aplica,Sin observaciones
Cylindropuntia,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Cynara,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Cyperus,Monocotiledonea,Acuatica,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Cytisus,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Dactylis,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Dasyphyllum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Datura,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Deschampsia,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Descurainia,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Desfontainia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Deuterocohnia,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Deyeuxia,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Dicranoloma,Briofita,Briofita,Nativa,No aplica,Sin observaciones
Digitalis,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Diostea,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Diplostephium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Discaria,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Distichia,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Distichlis,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Donatia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Drimys,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Echinopsis,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Echium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Eleocharis,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Elymus,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Embothrium,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Empetrum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Encelia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Ephedra,Gimnosperma,Arbusto,Nativa,No aplica,Sin observaciones
Equisetum,Helecho,Hierba,Nativa,No aplica,Sin observaciones
Eragrostis,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Eremodraba,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Erodium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Eryngium,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Escallonia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Eschscholzia,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Eucalyptus,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Eucryphia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Eulychnia,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Eupatorium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Euphorbia,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Fabiana,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Fagonia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Festuca,Monocotiledonea,Graminea,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Fitzroya,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Flourensia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Frankenia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Fuchsia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Fuertesimalva,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Fumaria,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Galega,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Galium,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Gaultheria,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Genista,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Geoffroea,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Gevuina,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Glandularia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Gnaphalium,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Gochnatia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Griselinia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Guindilia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Gunnera,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Gutierrezia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Guynesomia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Gymnophyton,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Gypothamnium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Haplopappus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Helenium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Heliotropium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Herniaria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Hieracium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Hierochloe,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Hirschfeldia,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Hoffmannseggia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Holcus,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Homalocarpus,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Hordeum,Monocotiledonea,Graminea,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Huidobria,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Hydrocotyle,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Hymenophyllum,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Hypochaeris,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Isolepis,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Jamesoniella,Briofita,Briofita,Nativa,No aplica,Sin observaciones
Jubaea,Monocotiledonea,Palma,Nativa,No aplica,Sin observaciones
Juncus,Monocotiledonea,Acuatica,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Junellia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Kageneckia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Krameria,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lachemilla,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Lactuca,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Lampaya,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Laretia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lastarriaea,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Lasthenia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Lathyrus,Latifoliada,Trepadora,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Laurelia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Lebetanthus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Leontodon,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Lepechinia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lepidium,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Lepidophyllum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lepidothamnus,Conifera,Arbusto,Nativa,No aplica,Sin observaciones
Leptinella,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Leucanthemum,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Leucheria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Leymus,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Lilaeopsis,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Lithraea,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Loasa,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Lobelia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Lolium,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Lomatia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Lophochloa,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Lophopappus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lophosoria,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Lotus,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Luma,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Lupinus,Latifoliada,Arbusto,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Luzuriaga,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Lycium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Lycopersicon,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Madia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Maihueniopsis,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Malva,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Marsippospermum,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Maytenus,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Medicago,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Mesembryanthemum,Latifoliada,Suculenta,Exotica,No aplica,Sin observaciones
Microphyes,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Montiopsis,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
Morella,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Moscharia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Muehlenbeckia,Latifoliada,Trepadora,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Muhlenbergia,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Mulguraea,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Mulinum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Myoschilos,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Myrceugenia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Myrcianthes,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Myriophyllum,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Myrteola,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Nardophyllum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Nassauvia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Nassella,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Nasturtium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Nertera,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Neuontobotrys,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Nicoraepoa,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Nolana,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Nothofagus,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Oenothera,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Ophryosporus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Opuntia,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Oreobolus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Oreocereus,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Orites,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Otholobium,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Ovidia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Oxalis,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Oxychloë,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Oxyphyllum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Oxytheca,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Pappostipa,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Parastrephia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Patosia,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Pectocarya,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Pennisetum,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Perityle,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Pernettya,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Persea,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Peumus,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Philesia,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Philippiamra,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Phleum,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Phragmites,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Phrodus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Phylloscirpus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Pilgerodendron,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Pinus,Conifera,Arbol,Exotica,No aplica,Sin observaciones
Piptochaetium,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Plantago,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Pleocarphus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Pleurophora,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Pluchea,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Poa,Monocotiledonea,Graminea,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Podocarpus,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Polyachyrus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Polylepis,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Polypogon,Monocotiledonea,Graminea,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Polystichum,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Populus,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Porlieria,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Potamogeton,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Potentilla,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Pouteria,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Prosopis,Latifoliada,Arbol,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Proustia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Prumnopitys,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Prunella,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Pseudotsuga,Conifera,Arbol,Exotica,No aplica,Sin observaciones
Puccinellia,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Puya,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Pycnophyllum,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Quercus,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Quillaja,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Quinchamalium,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Racomitrium,Briofita,Briofita,Nativa,No aplica,Sin observaciones
Ranunculus,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Raphanus,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Rapistrum,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Raukaua,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Retanilla,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Rhaphithamnus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Ribes,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Robinia,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Rosa,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Rostkovia,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Rubus,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Rumex,Latifoliada,Hierba,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Rumohra,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Ruppia,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Rytidosperma,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Salix,Latifoliada,Arbol,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Sarcocornia,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
Saxegothaea,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Schinus,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Schoenoplectus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Schoenus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Scirpus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Selliera,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Senecio,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Senna,Latifoliada,Arbusto,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Sequoia,Conifera,Arbol,Exotica,No aplica,Sin observaciones
Sisymbrium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Skytanthus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Solanum,Latifoliada,Arbusto,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Sophora,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Spartina,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Spartium,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Spergularia,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Sphaeralcea,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Sphagnum,Briofita,Briofita,Nativa,No aplica,Sin observaciones
Stellaria,Latifoliada,Hierba,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Sticherus,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Stipa,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Suaeda,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
Talguenea,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Tamarix,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Tarasa,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Taraxacum,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Teline,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Tepualia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Tessaria,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Tetraglochin,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Tetragonia,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
