genero,grupo,habito,origen_genero,origen_predominante,nota
Abies,Conifera,Arbol,Exotica,No aplica,Sin observaciones
Acacia,Latifoliada,Arbol,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Acaena,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Acer,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Adenocaulon,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Adesmia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Adiantum,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Aextoxicon,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Agrostis,Monocotiledonea,Graminea,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Aira,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Aldama,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Alnus,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Alona,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Alopecurus,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Aloysia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Alstroemeria,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Amblyopappus,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Ambrosia,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Ammophila,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Amomyrtus,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Amphiscirpus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Amsinckia,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Anarthrophyllum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Anemone,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Antennaria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Anthemis,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Anthoxanthum,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Anthriscus,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Aphyllocladus,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Apium,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Apodasmia,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Araucaria,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Arenaria,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Aristida,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Aristotelia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Armeria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Artemisia,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Arundo,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Astelia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Asteranthera,Latifoliada,Trepadora,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Atriplex,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Austrocedrus,Conifera,Arbol,Nativa,No aplica,Sin observaciones
Avena,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Azara,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Azolla,Helecho,Acuatica,Nativa,No aplica,Sin observaciones
Azorella,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Baccharis,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Bahia,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Bakerolimon,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Balbisia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Balsamocarpon,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Beilschmiedia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Bellis,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Berberis,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Blechnum,Helecho,Helecho,Nativa,No aplica,Sin observaciones
Blepharocalyx,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Bolax,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Bolboschoenus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Brassica,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Bridgesia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Bromus,Monocotiledonea,Graminea,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Browningia,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Bryophyta,Briofita,Briofita,Nativa,No aplica,Sin observaciones
Buddleja,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Bulnesia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Caesalpinia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Calandrinia,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
Calceolaria,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Caldcluvia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Calliandra,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Caltha,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Capsella,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Cardionema,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Carduus,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Carex,Monocotiledonea,Acuatica,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Carpha,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Carpobrotus,Latifoliada,Suculenta,Exotica,Nativa,Sin observaciones
Carthamus,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Castanea,Latifoliada,Arbol,Exotica,No aplica,Sin observaciones
Centaurea,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Centipeda,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Cerastium,Latifoliada,Hierba,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Cestrum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Chaetanthera,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Chenopodium,Latifoliada,Hierba,Mixto,No aplica,Resuelto especie por especie en la hoja 15.
Chiliotrichum,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Chloraea,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Chorizanthe,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Chuquiraga,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Chusquea,Monocotiledonea,Bambu,Nativa,No aplica,Sin observaciones
Cirsium,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Cistanthe,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
Colletia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Colliguaja,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Copiapoa,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Cordia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Corryocactus,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Cortaderia,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Corynabutilon,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Cotula,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Crassula,Latifoliada,Suculenta,Nativa,No aplica,Sin observaciones
