valor_origen,valor_canonico,accion,confianza,nota
Achaparrado,Achaparrado,sin_cambio,alta,Sin observaciones
Adulta,Adulta,sin_cambio,alta,Sin observaciones
Adulto,Adulto,sin_cambio,alta,Sin observaciones
Adulto-Renoval,Adulto-Renoval,sin_cambio,alta,Sin observaciones
Bosque de Exóticas Asilvestradas,Bosque de Exóticas Asilvestradas,sin_cambio,alta,Sin observaciones
Estepa Altiplánica,Estepa Altiplánica,sin_cambio,alta,Sin observaciones
Estepa Andina Central,Estepa Andina Central,sin_cambio,alta,Sin observaciones
Estepa Patagónica,Estepa Patagónica,sin_cambio,alta,Sin observaciones
Joven o Recién Cosechada,Joven o Recién Cosechada,sin_cambio,alta,Sin observaciones
Nativo con Exóticas Asilvestradas,Nativo con Exóticas Asilvestradas,sin_cambio,alta,Sin observaciones
Nativo-Plantación,Nativo-Plantación,sin_cambio,alta,Sin observaciones
No Aplica,No Aplica,sin_cambio,alta,Sin observaciones
Pradera Anual,Pradera Anual,sin_cambio,alta,Sin observaciones
Pradera Perenne,Pradera Perenne,sin_cambio,alta,Sin observaciones
Renoval,Renoval,sin_cambio,alta,Sin observaciones
Tundra Montana,Tundra Montana,sin_cambio,alta,Sin observaciones
Tundra Oceánica,Tundra Oceánica,sin_cambio,alta,Sin observaciones
