especie_cod,especie,nombre_cientifico,genero,grupo,habito,arboreo,origen,confianza_origen,monumento_natural,decreto_mn,invasora,estado_conservacion_RCE
an,teatina,Ammophila arenaria,Ammophila,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
AL,luma,Amomyrtus luma,Amomyrtus,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AM,meli,Amomyrtus meli,Amomyrtus,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a22,Amphiscirpus nevadensis,Amphiscirpus nevadensis,Amphiscirpus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a23,Amsinckia calycina,Amsinckia calycina,Amsinckia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ni,Anarthrophyllum andicolum,Anarthrophyllum andicolum,Anarthrophyllum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A26,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Anarthrophyllum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A33,Anarthrophyllum desideratum,Anarthrophyllum desideratum,Anarthrophyllum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ng,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Anarthrophyllum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
af,Anemone multifida,Anemone multifida,Anemone,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ni,Antennaria chilensis,Antennaria chilensis,Antennaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a24,Anthemis cotula,Anthemis cotula,Anthemis,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
aj,Anthemis inodora,Anthemis inodora,Anthemis,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a39,Anthoxanthum redolens,Anthoxanthum redolens,Anthoxanthum,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ac3,Anthriscus caucalis,Anthriscus caucalis,Anthriscus,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Ze,Aphyllocladus denticulatus,Aphyllocladus denticulatus,Aphyllocladus,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
iu,apium,Apium australe,Apium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ac4,Apodasmia chilensis,Apodasmia chilensis,Apodasmia,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AA,"pehuen, araucaria",Araucaria araucana,Araucaria,Conifera,Arbol,Sí,Nativa,alta,Sí,D.S. 43/1990 MINAGRI,No aplica,En Peligro
as2,Arenaria serpens,Arenaria serpens,Arenaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a14,Aristida adscensionis,Aristida adscensionis,Aristida,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Mq,maqui,Aristotelia chilensis,Aristotelia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ar,Armeria maritima,Armeria maritima,Armeria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ac,copa copa,Artemisia copa,Artemisia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a15,Arundo donax,Arundo donax,Arundo,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a41,Astelia pumila,Astelia pumila,Astelia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
so,Asteranthera ovata,Asteranthera ovata,Asteranthera,Latifoliada,Trepadora,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ax,cachiyuyo,Atriplex atacamensis,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A32,Atriplex clivicola,Atriplex clivicola,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Xd,cachiyuyo,Atriplex deserticola,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A12,Piyaya,Atriplex glaucescens,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Aj,ojalar,Atriplex imbricata,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A14,Atriplex madariagae,Atriplex madariagae,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
An,Atriplex nummularia,Atriplex nummularia,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Tr,sereno,Atriplex repanda,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a27,Atriplex semibaccata,Atriplex semibaccata,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A35,Atriplex vulgatissima,Atriplex vulgatissima,Atriplex,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AC,ciprés de la cordillera,Austrocedrus chilensis,Austrocedrus,Conifera,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Casi Amenazada
at,arvejilla,Avena barbata,Avena,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
vf,avena,Avena fatua,Avena,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a42,Avena sativa,Avena sativa,Avena,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
LI,lilén,Azara celastrina,Azara,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AN,corcolén,Azara dentata,Azara,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Al,aromo,Azara lanceolata,Azara,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A27,chin chin,Azara microphylla,Azara,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AI,lilén,Azara petiolaris,Azara,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
of,Azolla filiculoides,Azolla filiculoides,Azolla,Helecho,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a59,Azorella atacamensis,Azorella atacamensis,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ll,Llareta,Azorella compacta,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a28,Azorella cryptantha,Azorella cryptantha,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zm,llareta,Azorella madreporica,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a29,Azorella monantha,Azorella monantha,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ms,"mata barrosa, neneo, panza de burro",Azorella prolifera,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ar1,Azorella ruizii,Azorella ruizii,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a30,Azorella trifoliolata,Azorella trifoliolata,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a45,Azorella trifurcata,Azorella trifurcata,Azorella,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b19,Baccharis acaulis,Baccharis acaulis,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B1,Baccharis alnifolia,Baccharis alnifolia,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bx,Pesco tola,Baccharis boliviensis,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Vu,vautro,Baccharis concava,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B8,Baccharis glutinosa,Baccharis glutinosa,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b20,Baccharis juncea,Baccharis juncea,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Rm,romerillo,Baccharis linearis,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Rk,Baccharis macraei,Baccharis macraei,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bg,Baccharis magellanica,Baccharis magellanica,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B2,Baccharis neaei,Baccharis neaei,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bv,Baccharis obovata,Baccharis obovata,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ym,Baccharis paniculata,Baccharis paniculata,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bp,Baccharis patagonica,Baccharis patagonica,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b13,Baccharis pingraea,Baccharis pingraea,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Br,vautro chilca,Baccharis rhomboidalis,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bs,chilca,Baccharis salicifolia,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bt,Tola,Baccharis santelicis,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bk,Baccharis scandens,Baccharis scandens,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bq,Baccharis sp.,Baccharis sp.,Baccharis,Latifoliada,Arbusto,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
B3,Baccharis spartioides,Baccharis spartioides,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Rd,raden,Baccharis sphaerocephala,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bj,Lejía,Baccharis tola,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B11,Baccharis tricuneata,Baccharis tricuneata,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B12,Baccharis zoellneri,Baccharis zoellneri,Baccharis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cz,chamiza,Bahia ambrosioides,Bahia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bk,Bakerolimon plumosum,Bakerolimon plumosum,Bakerolimon,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bd,Amancae,Balbisia microphylla,Balbisia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ba,amancay,Balbisia peduncularis,Balbisia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bz,algarrobilla,Balsamocarpon brevifolium,Balsamocarpon,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
BB,belloto del sur,Beilschmiedia berteroana,Beilschmiedia,Latifoliada,Arbol,Sí,Nativa,alta,Sí,D.S. 13/1995 MINAGRI,No aplica,En Peligro
BM,belloto del norte,Beilschmiedia miersii,Beilschmiedia,Latifoliada,Arbol,Sí,Nativa,alta,Sí,D.S. 13/1995 MINAGRI,No aplica,Vulnerable
b24,Bellis perennis,Bellis perennis,Bellis,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
B7,michay,Berberis actinacantha,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bb,calafate,Berberis buxifolia,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bw,michay,Berberis darwinii,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Be,zarcilla,Berberis empetrifolia,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bi,chelia,Berberis ilicifolia,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
B13,Berberis microphylla,Berberis microphylla,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bm,Berberis montana,Berberis montana,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bc,michay,Berberis pearcei,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ee,michay,Berberis serratodentata,Berberis,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bc,costilla de vaca,Blechnum chilensis,Blechnum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ba,palmito,Blechnum magellanicum,Blechnum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bp,palmita,Blechnum penna-marina,Blechnum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
BC,temu,Blepharocalyx cruckshanksii,Blepharocalyx,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b23,Bolax caespitosa,Bolax caespitosa,Bolax,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bg,Bolax gummifera,Bolax gummifera,Bolax,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b26,Bolboschoenus maritimus,Bolboschoenus maritimus,Bolboschoenus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
b15,Brassica nigra,Brassica nigra,Brassica,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
b16,Brassica rapa,Brassica rapa,Brassica,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
b25,Brassica sp.,Brassica sp.,Brassica,Latifoliada,Hierba,No,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
B5,Bridgesia incisifolia,Bridgesia incisifolia,Bridgesia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bs,tuca,Bromus berteroanus,Bromus,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bh,Bromus hordeaceus,Bromus hordeaceus,Bromus,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
b18,Bromus rigidus,Bromus rigidus,Bromus,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
bf,tembladeras,Bromus setifolius,Bromus,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
