especie_cod,especie,nombre_cientifico,genero,grupo,habito,arboreo,origen,confianza_origen,monumento_natural,decreto_mn,invasora,estado_conservacion_RCE
AB,abeto,Abies sp.,Abies,Conifera,Arbol,Sí,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
ES,espino,Acacia caven,Acacia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AD,aromo,Acacia dealbata,Acacia,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
Yl,Huarango,Acacia macracantha,Acacia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AR,aromo,Acacia melanoxylon,Acacia,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
AE,acacia azul,Acacia saligna,Acacia,Latifoliada,Arbusto,No,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
CI,acacia,Acacia sp.,Acacia,Latifoliada,Arbol,Sí,Sin determinar,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
Nj,cepacaballo cadillo,Acaena alpina,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ai,Acaena integerrima,Acaena integerrima,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
az,cadilla,Acaena magellanica,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ao,cadilla,Acaena ovalifolia,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a51,Acaena patagonica,Acaena patagonica,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ap,pimpinela,Acaena pinnatifida,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
tf,amores secos,Acaena sericea,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cc,cepa caballo trunes,Acaena splendens,Acaena,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
LL,arce,Acer sp.,Acer,Latifoliada,Arbol,Sí,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
ac2,Adenocaulon chilense,Adenocaulon chilense,Adenocaulon,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zc,cuerno,Adesmia aegiceras,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zb,Adesmia aphylla,Adesmia aphylla,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zg,varilla,Adesmia argentea,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dy,Adesmia argyrophylla,Adesmia argyrophylla,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
At,Adesmia atacamensis,Adesmia atacamensis,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Va,varilla,Adesmia bedwellii,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ab,paramela,Adesmia boronioides,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Af,espinillo,Adesmia confusa,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ai,Adesmia echinus,Adesmia echinus,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dm,Adesmia eremophila,Adesmia eremophila,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A30,Adesmia erinacea,Adesmia erinacea,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Aq,varilla,Adesmia glutinosa,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Di,Adesmia gracilis,Adesmia gracilis,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Au,anahua,Adesmia horrida,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Za,varilla,Adesmia hystrix,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dk,Adesmia kingii,Adesmia kingii,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zl,Adesmia littoralis,Adesmia littoralis,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Am,palhuén,Adesmia microphylla,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A18,Adesmia monosperma,Adesmia monosperma,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A37,Adesmia pauciflora,Adesmia pauciflora,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ap,varilla,Adesmia pedicellata,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a56,Adesmia rahmeri,Adesmia rahmeri,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ar,paramela de til til,Adesmia resinosa,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A20,Adesmia rubroviridis,Adesmia rubroviridis,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A38,Adesmia schneideri,Adesmia schneideri,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zs,varilla,Adesmia sp.,Adesmia,Latifoliada,Arbusto,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Zx,anahuilla,Adesmia spinosissima,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A21,Adesmia subterranea,Adesmia subterranea,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ae,arvejilla,Adesmia tenella,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A11,Adesmia verrucosa,Adesmia verrucosa,Adesmia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ah,palito negro,Adiantum chilense,Adiantum,Helecho,Helecho,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AP,olivillo,Aextoxicon punctatum,Aextoxicon,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ag,chepica del sur,Agrostis alba,Agrostis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a19,Agrostis capilaris,Agrostis capilaris,Agrostis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a35,Agrostis capillaris,Agrostis capillaris,Agrostis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a53,Agrostis leptotricha,Agrostis leptotricha,Agrostis,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a20,Agrostis sp.,Agrostis sp.,Agrostis,Monocotiledonea,Graminea,No,Exotica,baja,No,No aplica,No,Sin dato - no verificado en RCE
a54,Agrostis stolonifera,Agrostis stolonifera,Agrostis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ac,Aira caryophyllea,Aira caryophyllea,Aira,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a55,Aira praecox,Aira praecox,Aira,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
vr,Aldama revoluta,Aldama revoluta,Aldama,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
AG,aliso,Alnus glutinosa,Alnus,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
A31,Alona deserticola,Alona deserticola,Alona,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
am2,Alopecurus magellanicus,Alopecurus magellanicus,Alopecurus,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a38,Alopecurus pratensis,Alopecurus pratensis,Alopecurus,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a62,Alopecurus sp.,Alopecurus sp.,Alopecurus,Monocotiledonea,Graminea,No,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
A13,Aloysia deserticola,Aloysia deserticola,Aloysia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
A10,Rica rica,Aloysia tarapacana,Aloysia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
oi,mariposa del campo,Alstroemeria pelegrina,Alstroemeria,Monocotiledonea,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ay,Amblyopappus pusillus,Amblyopappus pusillus,Amblyopappus,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ak,Ambrosia,Ambrosia artemisioides,Ambrosia,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
a21,Ambrosia chamissonis,Ambrosia chamissonis,Ambrosia,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
