valor_origen,valor_canonico,accion,confianza,nota
Aisén,Aysén,ortografia,alta,"Se repone tilde, ñ o ü."
Antofagasta,Antofagasta,sin_cambio,alta,Sin observaciones
Antártica Chilena,Antártica Chilena,sin_cambio,alta,Sin observaciones
Arauco,Arauco,sin_cambio,alta,Sin observaciones
Arica,Arica,sin_cambio,alta,Sin observaciones
Biobío,Biobío,sin_cambio,alta,Sin observaciones
Cachapoal,Cachapoal,sin_cambio,alta,Sin observaciones
Capitán Prat,Capitán Prat,sin_cambio,alta,Sin observaciones
Cardenal Caro,Cardenal Caro,sin_cambio,alta,Sin observaciones
Cauquenes,Cauquenes,sin_cambio,alta,Sin observaciones
Cautin,Cautín,ortografia,alta,"Se repone tilde, ñ o ü."
Chacabuco,Chacabuco,sin_cambio,alta,Sin observaciones
Chañaral,Chañaral,sin_cambio,alta,Sin observaciones
Chiloé,Chiloé,sin_cambio,alta,Sin observaciones
Choapa,Choapa,sin_cambio,alta,Sin observaciones
Coihaique,Coyhaique,ortografia,alta,"Se repone tilde, ñ o ü."
Colchagua,Colchagua,sin_cambio,alta,Sin observaciones
Concepción,Concepción,sin_cambio,alta,Sin observaciones
Copiapo,Copiapó,ortografia,alta,"Se repone tilde, ñ o ü."
Cordillera,Cordillera,sin_cambio,alta,Sin observaciones
Curicó,Curicó,sin_cambio,alta,Sin observaciones
Diguillín,Diguillín,sin_cambio,alta,Sin observaciones
El Loa,El Loa,sin_cambio,alta,Sin observaciones
Elqui,Elqui,sin_cambio,alta,Sin observaciones
General Carrera,General Carrera,sin_cambio,alta,Sin observaciones
Huasco,Huasco,sin_cambio,alta,Sin observaciones
Iquique,Iquique,sin_cambio,alta,Sin observaciones
Itata,Itata,sin_cambio,alta,Sin observaciones
Limarí,Limarí,sin_cambio,alta,Sin observaciones
Linares,Linares,sin_cambio,alta,Sin observaciones
Llanquihue,Llanquihue,sin_cambio,alta,Sin observaciones
Los Andes,Los Andes,sin_cambio,alta,Sin observaciones
Magallanes,Magallanes,sin_cambio,alta,Sin observaciones
Maipo,Maipo,sin_cambio,alta,Sin observaciones
Malleco,Malleco,sin_cambio,alta,Sin observaciones
Margamarga,Marga Marga,ortografia,alta,"Se repone tilde, ñ o ü."
Melipilla,Melipilla,sin_cambio,alta,Sin observaciones
Osorno,Osorno,sin_cambio,alta,Sin observaciones
Palena,Palena,sin_cambio,alta,Sin observaciones
Parinacota,Parinacota,sin_cambio,alta,Sin observaciones
Petorca,Petorca,sin_cambio,alta,Sin observaciones
Punilla,Punilla,sin_cambio,alta,Sin observaciones
Quillota,Quillota,sin_cambio,alta,Sin observaciones
San Antonio,San Antonio,sin_cambio,alta,Sin observaciones
San Felipe,San Felipe,sin_cambio,alta,Sin observaciones
Santiago,Santiago,sin_cambio,alta,Sin observaciones
Talagante,Talagante,sin_cambio,alta,Sin observaciones
Talca,Talca,sin_cambio,alta,Sin observaciones
Tamarugal,Tamarugal,sin_cambio,alta,Sin observaciones
Tierra del Fuego,Tierra del Fuego,sin_cambio,alta,Sin observaciones
Tocopilla,Tocopilla,sin_cambio,alta,Sin observaciones
Ultima Esperanza,Última Esperanza,ortografia,alta,"Se repone tilde, ñ o ü."
Valparaíso,Valparaíso,sin_cambio,alta,Sin observaciones
